question,answer,domain,difficulty,quality_score
What is the capital of France?,The capital of France is Paris.,geography,easy,0.98
How many continents are there?,"There are seven continents: Africa, Antarctica, Asia, Europe, North America, Oceania, and South America.",geography,easy,0.97
What is photosynthesis?,"Photosynthesis is the process by which plants convert light energy into chemical energy, using sunlight, water, and carbon dioxide to produce glucose and oxygen.",science,medium,0.96
Who invented the telephone?,Alexander Graham Bell is credited with inventing the telephone in 1876.,history,easy,0.96
What is the speed of light?,"The speed of light in vacuum is approximately 299,792,458 meters per second, commonly denoted as 'c' in physics.",physics,medium,0.97
What is DNA?,DNA (Deoxyribonucleic Acid) is the molecule that carries genetic information in living organisms. It consists of two strands forming a double helix structure.,biology,medium,0.96
What is Python?,"Python is a high-level, interpreted programming language known for its readable syntax and versatility. It is used in web development, data science, and AI.",technology,easy,0.96
What is gravity?,"Gravity is a fundamental force that attracts objects with mass toward each other. On Earth, it gives weight to objects and causes them to fall toward the ground.",physics,medium,0.95
What is the Internet?,The Internet is a global network of interconnected computers that communicate using standardized protocols. It enables information sharing and communication worldwide.,technology,easy,0.95
What causes seasons?,"Seasons are caused by Earth's tilted axis as it orbits the Sun. Different parts of Earth receive varying amounts of sunlight throughout the year, creating seasonal changes.",science,medium,0.96
What is the definition of term 1?,Term 1 refers to a concept in science that describes specific properties or behaviors related to the field.,math,easy,0.9264925589483085
What is the definition of term 2?,Term 2 refers to a concept in technology that describes specific properties or behaviors related to the field.,technology,medium,0.9058838861401709
What is the definition of term 3?,Term 3 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,easy,0.8917939725706578
What is the definition of term 4?,Term 4 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,easy,0.9227716469270782
What is the definition of term 5?,Term 5 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,medium,0.9195234460443762
What is the definition of term 6?,Term 6 refers to a concept in technology that describes specific properties or behaviors related to the field.,technology,easy,0.9104736810024631
What is the definition of term 7?,Term 7 refers to a concept in science that describes specific properties or behaviors related to the field.,science,easy,0.8934328412710115
What is the definition of term 8?,Term 8 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,science,medium,0.9341003511575438
What is the definition of term 9?,Term 9 refers to a concept in technology that describes specific properties or behaviors related to the field.,science,easy,0.942932305011118
What is the definition of term 10?,Term 10 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.928585063377945
What is the definition of term 11?,Term 11 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,medium,0.9448834359907351
What is the definition of term 12?,Term 12 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.9110334237447755
What is the definition of term 13?,Term 13 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,medium,0.9016811840236769
What is the definition of term 14?,Term 14 refers to a concept in technology that describes specific properties or behaviors related to the field.,technology,medium,0.9064776681582903
What is the definition of term 15?,Term 15 refers to a concept in science that describes specific properties or behaviors related to the field.,math,medium,0.9299705510497649
What is the definition of term 16?,Term 16 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,medium,0.8827831850852716
What is the definition of term 17?,Term 17 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,science,easy,0.880447302809623
What is the definition of term 18?,Term 18 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,easy,0.9191734738113898
What is the definition of term 19?,Term 19 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,medium,0.9321483141009035
What is the definition of term 20?,Term 20 refers to a concept in science that describes specific properties or behaviors related to the field.,math,medium,0.9345854088766852
What is the definition of term 21?,Term 21 refers to a concept in science that describes specific properties or behaviors related to the field.,science,medium,0.9056269167401588
What is the definition of term 22?,Term 22 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,math,easy,0.8851069371699976
What is the definition of term 23?,Term 23 refers to a concept in mathematics that describes specific properties or behaviors related to the field.,technology,easy,0.9136453178123689
What is the definition of term 24?,Term 24 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,medium,0.9046592318520457
What is the definition of term 25?,Term 25 refers to a concept in technology that describes specific properties or behaviors related to the field.,math,easy,0.9085328122619858
