user_input,bot_response,language_style
"Bhai koi achhi action anime batao","Dekho agar pure action chahiye toh ye try karo: 1) Demon Slayer - best animation quality, fights ekdum mast, 2) Jujutsu Kaisen - modern, dark, smooth animation, 3) One Punch Man S1 - comedy bhi hai action bhi, 4) Mob Psycho 100 - unique art style but fights crazy good. Agar old school action chahiye toh Bleach ya Hunter x Hunter dekho.","hinglish_casual"
"What's your favorite anime character?","Main toh personally Lelouch (Code Geass) ko bahut pasand karta hoon - uski strategy, complex personality, aur character arc mindblowing hai. But favorites subjective hote hain. Some universally loved characters: Guts (Berserk), Edward Elric (FMAB), Gintoki (Gintama), Spike (Cowboy Bebop).","hinglish_conversational"
"Anime mein power of friendship trope irritating hai kya?","Honestly, it depends on execution. Jab badly done ho (Fairy Tail level) toh yes, cringe lagta hai. But jab properly written ho like Naruto mein, where friendship isn't instant win button but motivation for growth, tab powerful banta hai. Hunter x Hunter isko subvert karta hai beautifully - Gon ka friendship obsession toxic ban jata hai Chimera Ant arc mein.","hinglish_analytical"
"मुझे sad anime देखनी है जो रुला दे","Agar cry karna hai toh ye guaranteed choices hain: 1) Clannad: After Story - family aur loss, emotional rollercoaster, 2) Your Lie in April - music, love, aur coming to terms, 3) Anohana - childhood friends aur regret, 4) Violet Evergarden - war veteran ki emotional journey, 5) Grave of the Fireflies - war tragedy, hardest to watch. Tissues ready rakhna!","hinglish_emotional"
"JJK season 2 ka Shibuya arc kaisa tha?","Shibuya arc was absolutely phenomenal! Animation quality MAPPA ne top-notch deliver kiya, especially Sukuna vs Mahoraga fight. Story-wise tragic tha - multiple character deaths, Gojo sealed ho gaya, Yuji ka mental breakdown. Pacing kabhi rushed lagi but overall one of best arcs in recent shonen. Episode 17 and onwards pure cinema tha.","hinglish_review"
"Is it weird for adults to watch anime?","Bilkul nahi! Ye stigma outdated hai. Anime diverse medium hai - mature shows like Monster, Vinland Saga, Berserk specifically adults ke liye designed hain. Complex themes, psychological depth, philosophical questions - ye sab adult audience target karte hain. Western culture mein bhi ab normalize ho raha hai. Enjoy karo without shame, anime just another art form hai.","hinglish_reassuring"
"Kya manga padhna anime dekhne se better hai?","Dono ke apne pros hain: MANGA - faster pace, original author's vision, ahead of anime, detailed art. ANIME - colors, voice acting, music, fights animated. Best approach: anime dekho pehle, agar loved it toh manga padho for full experience. Some cases manga clearly better (Tokyo Ghoul:re), some cases anime enhances (Demon Slayer). Personal preference matter karta hai.","hinglish_balanced"
"AOT की ending controversial क्यों है?","AOT ending divisive hai because: 1) Eren's motivations aur final plan ko weak explanation, 2) Some character arcs unsatisfying (Mikasa, Reiner), 3) Themes inconsistent lage, 4) Pacing rushed tha, 5) Moral ambiguity ka resolution disappointing. However, defenders argue it's realistic, tragic, aur war has no good endings. Ending love/hate depends on expectations.","hinglish_analytical"
"Romance anime recommend karo jo cringe na ho","Quality romance without excessive cringe: 1) Kaguya-sama - comedy + romance perfectly balanced, 2) Horimiya - realistic relationship development, 3) Fruits Basket - deep character work with romance, 4) Tsuki ga Kirei - innocent, genuine middle school romance, 5) Toradora - classic done right. Avoid shows with heavy fanservice agar cringe nahi chahiye.","hinglish_recommendation"
"Why Japanese so obsessed with high school settings?","Multiple reasons hain: 1) Nostalgic period - freedom before adult responsibilities, 2) Relatable for core audience (teens/young adults), 3) Easy character interactions setup, 4) Coming-of-age stories natural fit, 5) Cost effective - same locations reuse, 6) Cultural importance of school life in Japan. But yes, oversaturation problem hai, variety chahiye.","hinglish_explanatory"
"Isekai anime mein actually good kaun se hain?","Despite genre saturation, kuch gems hain: 1) Re:Zero - dark, psychological, subverts tropes, 2) Mushoku Tensei - flawed protagonist, world-building focus, 3) Overlord - villain protagonist perspective, 4) Konosuba - comedy gold, parodies genre, 5) Ascendance of a Bookworm - unique premise. Avoid generic self-insert power fantasy types.","hinglish_selective"
"Ghibli films देखने का order क्या होना चाहिए?","Ghibli mein strict order nahi hai since most films standalone hain. Recommended starting points: 1) Spirited Away - most acclaimed, 2) My Neighbor Totoro - wholesome intro, 3) Princess Mononoke - if you like epic fantasy, 4) Howl's Moving Castle - romantic adventure. Phir explore karo based on preference. Grave of Fireflies emotional ready hoke dekho.","hinglish_guidance"
"Why do anime fans hate fillers so much?","Filler hate justified hai kyunki: 1) Story momentum break ho jati, 2) Character development inconsistent, 3) Quality usually drops, 4) Waste of time for binge watchers, 5) Naruto, Bleach mein excessive fillers ne experience ruin kiya. However, some fillers good hote hain (FMAB, Gintama). Use filler guides to skip unnecessary ones.","hinglish_critical"
"Shoujo anime boys ko bhi dekhna chahiye?","Absolutely! Shoujo isn't just for girls - good storytelling universal hai. Fruits Basket emotional depth, Ouran Host Club comedy, Kamisama Kiss fantasy romance - ye sab genuinely entertaining hain regardless of gender. Toxic masculinity ki wajah se log avoid karte hain. Try karo without bias, bahut miss kar rahe ho otherwise.","hinglish_encouraging"
"Anime industry workers ko fair pay milta hai kya?","Unfortunately no. Industry ki dark reality hai: 1) Animators ko extremely low wages (few dollars per frame), 2) Overwork culture (16+ hour days normal), 3) No proper contracts ya benefits, 4) Only top studios aur key staff well-paid, 5) Profit mostly production committees ko jata. Global success ke bawajud workers exploited. Industry reform desperately needed.","hinglish_serious"
"Psychological thriller anime suggest karo","Mind-bending psychological thrillers: 1) Monster - slow burn masterpiece, moral questions, 2) Paranoia Agent - surreal, social commentary, 3) Perfect Blue - disturbing, identity crisis, 4) Serial Experiments Lain - philosophical, confusing (in good way), 5) Psycho-Pass - dystopian crime thriller. Ye sab mature audience ke liye, heavy themes hain.","hinglish_recommendation"
"Shonen protagonist ka chosen one trope overdone hai kya?","Definitely overused hai but subversions exist: 1) Deku (MHA) worked hard for power, 2) Asta (Black Clover) literally anti-magic in magic world, 3) Senku (Dr. Stone) uses science not power. Problem tab hai jab protagonist effortlessly strong ho (Kirito SAO). Best shonen balance talent with hard work aur consequences.","hinglish_critique"
"Anime recommendations for someone who doesn't like anime?","Gateway anime for skeptics: 1) Death Note - no typical anime tropes, psychological thriller, 2) Cowboy Bebop - western style episodic, mature, 3) Attack on Titan - dark, mystery-driven, 4) Steins;Gate - sci-fi thriller, 5) Vinland Saga - historical, realistic violence. Avoid moe, excessive fanservice, ya over-the-top shonen initially.","hinglish_strategic"
"Does watching anime make you a weeb?","No. Weeb = someone obsessed with Japanese culture to cringey extent, tries to act Japanese, thinks Japan perfect. Simply watching anime ka matlab weeb nahi. It's like watching Hollywood movies doesn't make you American. Enjoy the medium naturally, don't fetishize the culture. Appreciation vs obsession mein difference hai.","hinglish_clarifying"
"Why are anime intros so catchy and memorable?","Japanese music industry talent + strategic creation: 1) Professional artists create OPs (YOASOBI, LiSA, etc), 2) Lyrics often tie to story themes, 3) Visually designed to hype you up, 4) Repetition builds association, 5) Emotional connection with story makes music nostalgic. Plus Japanese pop/rock style inherently catchy. Result: iconic songs like Gurenge, Unravel, Silhouette.","hinglish_analytical"
