topic,fact,category,verified,quality_score
Science,Water boils at 100 degrees Celsius at sea level.,physics,True,0.98
Geography,The Amazon River is the largest river by discharge volume of water in the world.,geography,True,0.97
Technology,The first computer virus was created in 1983 and was called Elk Cloner.,history,True,0.95
Biology,The human body contains approximately 37.2 trillion cells.,biology,True,0.96
Astronomy,The Sun accounts for about 99.86% of the mass in our solar system.,astronomy,True,0.97
Mathematics,"Pi is an irrational number, meaning its decimal representation never ends or repeats.",mathematics,True,0.96
Chemistry,Gold is one of the least reactive chemical elements and does not tarnish.,chemistry,True,0.96
History,The printing press was invented by Johannes Gutenberg around 1440.,history,True,0.97
History,Factual statement 1 about important knowledge in the domain that has been verified.,historical,True,0.872464800090374
Technology,Factual statement 2 about important knowledge in the domain that has been verified.,specific,True,0.8781761470569345
Technology,Factual statement 3 about important knowledge in the domain that has been verified.,general,True,0.9287076141998104
History,Factual statement 4 about important knowledge in the domain that has been verified.,specific,True,0.9107628696038603
Technology,Factual statement 5 about important knowledge in the domain that has been verified.,historical,True,0.8745097959368042
Nature,Factual statement 6 about important knowledge in the domain that has been verified.,specific,True,0.8706287852917184
History,Factual statement 7 about important knowledge in the domain that has been verified.,historical,True,0.8837771442517333
Science,Factual statement 8 about important knowledge in the domain that has been verified.,historical,True,0.9443186933137308
History,Factual statement 9 about important knowledge in the domain that has been verified.,specific,True,0.9157458867383415
Technology,Factual statement 10 about important knowledge in the domain that has been verified.,historical,True,0.8810125602037996
Science,Factual statement 11 about important knowledge in the domain that has been verified.,specific,True,0.8731264931881509
Nature,Factual statement 12 about important knowledge in the domain that has been verified.,general,True,0.881629360135012
Science,Factual statement 13 about important knowledge in the domain that has been verified.,specific,True,0.8899352453349025
Nature,Factual statement 14 about important knowledge in the domain that has been verified.,general,True,0.9208853326938606
Science,Factual statement 15 about important knowledge in the domain that has been verified.,general,True,0.8824867644942765
Technology,Factual statement 16 about important knowledge in the domain that has been verified.,historical,True,0.9422692187400148
Nature,Factual statement 17 about important knowledge in the domain that has been verified.,general,True,0.9008615750300618
Science,Factual statement 18 about important knowledge in the domain that has been verified.,specific,True,0.8763713491405422
History,Factual statement 19 about important knowledge in the domain that has been verified.,specific,True,0.9410657290040092
Technology,Factual statement 20 about important knowledge in the domain that has been verified.,historical,True,0.8991349854550604
History,Factual statement 21 about important knowledge in the domain that has been verified.,specific,True,0.9409534069611989
Science,Factual statement 22 about important knowledge in the domain that has been verified.,general,True,0.9301575547818585
Technology,Factual statement 23 about important knowledge in the domain that has been verified.,specific,True,0.8768511341287449
Nature,Factual statement 24 about important knowledge in the domain that has been verified.,historical,True,0.9324107125840724
Science,Factual statement 25 about important knowledge in the domain that has been verified.,specific,True,0.9349745024110666
History,Factual statement 26 about important knowledge in the domain that has been verified.,historical,True,0.8716554566527286
Technology,Factual statement 27 about important knowledge in the domain that has been verified.,historical,True,0.9138076396322804
Nature,Factual statement 28 about important knowledge in the domain that has been verified.,historical,True,0.9437219705874615
History,Factual statement 29 about important knowledge in the domain that has been verified.,historical,True,0.8784218840462259
Technology,Factual statement 30 about important knowledge in the domain that has been verified.,historical,True,0.937592237509749
Technology,Factual statement 31 about important knowledge in the domain that has been verified.,specific,True,0.9050084505510777
Nature,Factual statement 32 about important knowledge in the domain that has been verified.,historical,True,0.8790158021945359
History,Factual statement 33 about important knowledge in the domain that has been verified.,historical,True,0.9047008265529959
Nature,Factual statement 34 about important knowledge in the domain that has been verified.,historical,True,0.9051782532919234
Science,Factual statement 35 about important knowledge in the domain that has been verified.,general,True,0.8791369731387542
Technology,Factual statement 36 about important knowledge in the domain that has been verified.,historical,True,0.9227005031147588
Nature,Factual statement 37 about important knowledge in the domain that has been verified.,historical,True,0.8700487338357863
Science,Factual statement 38 about important knowledge in the domain that has been verified.,general,True,0.8838725226179539
Nature,Factual statement 39 about important knowledge in the domain that has been verified.,specific,True,0.8933774242352895
Technology,Factual statement 40 about important knowledge in the domain that has been verified.,specific,True,0.9423247338407048
Science,Factual statement 41 about important knowledge in the domain that has been verified.,specific,True,0.9287604510102251
History,Factual statement 42 about important knowledge in the domain that has been verified.,general,True,0.9423223296129426
Nature,Factual statement 43 about important knowledge in the domain that has been verified.,specific,True,0.8913622562231309
History,Factual statement 44 about important knowledge in the domain that has been verified.,specific,True,0.885799396447371
Technology,Factual statement 45 about important knowledge in the domain that has been verified.,historical,True,0.8822062535421272
Science,Factual statement 46 about important knowledge in the domain that has been verified.,general,True,0.9229650169383332
Technology,Factual statement 47 about important knowledge in the domain that has been verified.,historical,True,0.899649645621101
Nature,Factual statement 48 about important knowledge in the domain that has been verified.,specific,True,0.8882972039524532
Science,Factual statement 49 about important knowledge in the domain that has been verified.,specific,True,0.9129025185034542
Nature,Factual statement 50 about important knowledge in the domain that has been verified.,specific,True,0.9217186387584781
Science,Factual statement 51 about important knowledge in the domain that has been verified.,specific,True,0.9062561298125155
Nature,Factual statement 52 about important knowledge in the domain that has been verified.,historical,True,0.932933673180636
Science,Factual statement 53 about important knowledge in the domain that has been verified.,general,True,0.8728415967703251
Nature,Factual statement 54 about important knowledge in the domain that has been verified.,specific,True,0.9422076540496175
Nature,Factual statement 55 about important knowledge in the domain that has been verified.,historical,True,0.9376797763533703
Nature,Factual statement 56 about important knowledge in the domain that has been verified.,specific,True,0.9426969148814036
History,Factual statement 57 about important knowledge in the domain that has been verified.,specific,True,0.8807571932785067
Technology,Factual statement 58 about important knowledge in the domain that has been verified.,general,True,0.8890317769549183
Nature,Factual statement 59 about important knowledge in the domain that has been verified.,general,True,0.9070931992400295
Nature,Factual statement 60 about important knowledge in the domain that has been verified.,general,True,0.8936382104895059
History,Factual statement 61 about important knowledge in the domain that has been verified.,historical,True,0.9015503757275389
Science,Factual statement 62 about important knowledge in the domain that has been verified.,general,True,0.9046634730600781
Science,Factual statement 63 about important knowledge in the domain that has been verified.,historical,True,0.9008676883277139
Science,Factual statement 64 about important knowledge in the domain that has been verified.,historical,True,0.9241125281691931
Science,Factual statement 65 about important knowledge in the domain that has been verified.,historical,True,0.8852494310506471
History,Factual statement 66 about important knowledge in the domain that has been verified.,historical,True,0.9117210111785324
