query,response,genre,quality_score
What is anime?,"Anime refers to Japanese animated productions featuring hand-drawn or computer animation. It encompasses various genres and storytelling styles, gaining worldwide popularity.",general,0.97
Recommend an action anime.,"I recommend Attack on Titan. It features intense battles, complex characters, and gripping storyline about humanity fighting giant creatures. The animation quality is exceptional.",action,0.96
Tell me about Studio Ghibli.,Studio Ghibli is a renowned Japanese animation studio known for beautiful hand-drawn films. Their works like Spirited Away and My Neighbor Totoro have won international acclaim.,studio,0.97
What are popular anime genres?,"Popular genres include Shonen (action-adventure), Shoujo (romance), Seinen (mature themes), Isekai (another world), Slice of Life, Mecha (robots), and Supernatural.",general,0.96
Suggest a romance anime.,"Your Name (Kimi no Na wa) is an excellent romance anime. It tells a beautiful story about two teenagers who mysteriously swap bodies, with stunning animation and emotional depth.",romance,0.96
What is Shonen anime?,"Shonen is anime targeted at young male audiences, typically featuring action, adventure, and coming-of-age themes. Popular examples include Naruto, One Piece, and Dragon Ball.",shonen,0.95
एनीमे क्या है?,"एनीमे जापानी एनिमेशन को कहते हैं। यह विभिन्न शैलियों में आता है जैसे एक्शन, रोमांस, और फंतासी। एनीमे दुनिया भर में लोकप्रिय है।",general_hindi,0.95
मुझे एक्शन एनीमे बताओ।,"मैं Attack on Titan की सिफारिश करता हूं। इसमें शानदार एक्शन, जटिल पात्र और रोमांचक कहानी है। यह बहुत लोकप्रिय है।",action_hindi,0.94
What is Isekai anime?,"Isekai anime features protagonists transported to parallel worlds or fantasy realms. Common themes include adventure, magic, and character growth in new environments.",isekai,0.95
Recommend a psychological anime.,"Death Note is an excellent psychological thriller. It follows a student who gains power to kill anyone by writing their name in a supernatural notebook, exploring themes of justice and morality.",psychological,0.97
Tell me about anime title 1.,Anime title 1 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9246721119232996
Tell me about anime title 2.,Anime title 2 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9145590510230612
Tell me about anime title 3.,Anime title 3 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.949413867286109
Tell me about anime title 4.,Anime title 4 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.94247600216329
Tell me about anime title 5.,Anime title 5 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.913808254111408
Tell me about anime title 6.,Anime title 6 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9184629837943006
Tell me about anime title 7.,Anime title 7 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.939411749428493
Tell me about anime title 8.,Anime title 8 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.8839149112530224
Tell me about anime title 9.,Anime title 9 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.931234325324715
Tell me about anime title 10.,Anime title 10 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.931449548257989
Tell me about anime title 11.,Anime title 11 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9186285269005263
Tell me about anime title 12.,Anime title 12 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9074508118772543
Tell me about anime title 13.,Anime title 13 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9406484433297766
Tell me about anime title 14.,Anime title 14 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9297321950790225
Tell me about anime title 15.,Anime title 15 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9114169025749248
Tell me about anime title 16.,Anime title 16 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.8958693302716456
