question,answer,category,difficulty
"Who created Fullmetal Alchemist?","Fullmetal Alchemist was created by Hiromu Arakawa. The manga ran from 2001 to 2010, and it received two anime adaptations: the 2003 version and Fullmetal Alchemist: Brotherhood (2009) which faithfully follows the manga.","creator_info","easy"
"One Piece में कितने Straw Hat Pirates हैं?","One Piece में 10 Straw Hat Pirates हैं: Luffy (Captain), Zoro, Nami, Usopp, Sanji, Chopper, Robin, Franky, Brook, और Jinbe। Each member का unique dream और role है crew में।","crew_info","easy"
"What are the Big Three anime?","The Big Three refers to Naruto, Bleach, and One Piece - three shonen anime that dominated the 2000s-2010s era in popularity, influence, and cultural impact worldwide.","anime_history","easy"
"Eren Yeager का main goal क्या है Attack on Titan में?","Initially Eren's goal Titans को destroy करना था, लेकिन story progress करने पर उसका goal freedom achieve करना और Rumbling के through दुनिया को बदलना बन जाता है। His motivations become morally complex and controversial.","character_motivation","medium"
"Explain the concept of Devil Fruits in One Piece","Devil Fruits grant supernatural powers but remove the ability to swim. Three types exist: Paramecia (superhuman abilities), Zoan (animal transformations), and Logia (element manipulation). Each fruit is unique, and eating two kills you.","power_system","medium"
"Death Note का Light Yagami क्यों anti-hero है?","Light initially noble intentions से start करता है - criminals को punish करके better world बनाना। But gradually वो god complex develop करता है, innocent लोगों को भी मारने लगता है, और pure evil बन जाता है। He's a cautionary tale about absolute power corrupting.","character_analysis","medium"
"What makes Steins;Gate's time travel unique?","Steins;Gate uses a scientifically-grounded approach to time travel through the concept of world lines and attractor fields. The 'Phone Microwave' creates D-mails that shift world lines, and the protagonist retains memories across timelines through 'Reading Steiner' ability.","plot_mechanics","hard"
"Code Geass में Lelouch की Geass power क्या है?","Lelouch को 'Power of Absolute Obedience' Geass मिलता है जो किसी को भी एक बार direct eye contact पर कोई भी command follow करने पर मजबूर कर देता है। Each person पर केवल एक बार काम करता है और command permanent है।","power_info","easy"
"Explain the ending of Neon Genesis Evangelion","Evangelion's ending is deliberately abstract and psychological. It explores Shinji's internal struggle with self-worth and human connection. The TV ending focuses on psychological introspection, while End of Evangelion provides a more apocalyptic, surreal conclusion with the Human Instrumentality Project.","ending_analysis","hard"
"My Hero Academia में All For One vs One For All क्या है?","One For All एक stockpiling Quirk है जो generations के through power transfer और accumulate होता है। All For One इसका evil counterpart है जो दूसरों के Quirks चुरा सकता है। ये दोनों Quirks centuries पुरानी rivalry represent करते हैं good vs evil की।","power_system","medium"
"Cowboy Bebop की genre क्या है?","Cowboy Bebop एक unique blend है space western, neo-noir, और jazz-influenced storytelling का। It mixes bounty hunter adventures with deep character backstories, philosophical themes, और exceptional soundtrack।","genre_info","easy"
"What is sakuga in anime?","Sakuga refers to moments of exceptionally high-quality animation, often featuring fluid motion, detailed drawings, and dynamic camera work. These scenes are typically handled by skilled key animators and are highlights of action or emotional moments.","technical_term","medium"
"Demon Slayer में Breathing Styles कैसे काम करती हैं?","Breathing Styles specialized sword techniques हैं जो proper breathing patterns के through physical abilities को drastically enhance करती हैं। Main styles में Water, Flame, Thunder, Stone, Wind, और Insect हैं। Sun Breathing सभी styles की origin है।","power_system","medium"
"Makoto Shinkai की films की specialty क्या है?","Makoto Shinkai अपनी breathtaking visuals, realistic backgrounds, bittersweet romance stories, और themes of distance and longing के लिए famous हैं। Your Name, Weathering With You, और 5 Centimeters Per Second उनकी iconic works हैं।","director_style","easy"
"Explain the concept of stands in JoJo's Bizarre Adventure","Stands are physical manifestations of life energy with unique powers. Each Stand has specific abilities, stats (Power, Speed, Range, Durability, Precision, Development Potential), and limitations. They can only be harmed by other Stands and reflect damage to their users.","power_system","hard"
"Vinland Saga का main theme क्या है?","Vinland Saga explores themes of violence, revenge, redemption, और true strength का meaning। Story initially revenge tale है but transforms into philosophical journey about breaking cycles of violence और peaceful life की search।","theme_analysis","medium"
"What is the difference between anime and donghua?","Anime refers to Japanese animation, while donghua is Chinese animation. Though both are Asian animation styles, they have distinct art styles, storytelling approaches, and cultural influences. Donghua has grown significantly in quality and popularity recently.","terminology","easy"
"Fate series का timeline क्या है?","Fate series complex है multiple routes और timelines के साथ। Main timeline: Fate/Zero (prequel) → Fate/Stay Night (three routes: Fate, Unlimited Blade Works, Heaven's Feel) → various spin-offs। Each route explores different aspects और outcomes Holy Grail War के।","timeline_info","hard"
"Mob Psycho 100 का message क्या है?","Mob Psycho 100 conveys that having special powers doesn't make you special, personal growth और emotional maturity matters most। Mob's journey shows importance of being kind, helping others, और self-improvement regardless of supernatural abilities।","message_theme","medium"
"What makes a good anime antagonist?","Good anime antagonists have: clear motivations viewers can understand (even if not agree), compelling backstories, ideological conflicts with protagonists, and character development. Best examples: Pain (Naruto), Meruem (HxH), Johan (Monster) - they challenge protagonists' worldviews.","character_writing","medium"
