premise,question,answer,reasoning_type,quality_score
All cats are mammals. All mammals are animals.,Are all cats animals?,"Yes, all cats are animals. This follows from logical transitivity: if A implies B and B implies C, then A implies C.",deductive,0.97
A bag contains 5 red balls and 3 blue balls.,What is the probability of picking a red ball?,The probability is 5/8 or 0.625 (62.5%). This is calculated by dividing red balls (5) by total balls (8).,mathematical,0.96
"If it rains, the ground gets wet. The ground is wet.",Did it rain?,We cannot conclude definitively that it rained. The ground could be wet from other sources like sprinklers. This is an example of affirming the consequent fallacy.,logical,0.95
5 machines make 5 widgets in 5 minutes.,How long for 100 machines to make 100 widgets?,"Still 5 minutes. Each machine makes one widget in 5 minutes, so 100 machines working in parallel make 100 widgets in 5 minutes.",mathematical,0.96
All birds can fly. Penguins are birds.,Can penguins fly?,"This presents a logical problem. While penguins are birds, they cannot fly. The initial premise 'all birds can fly' is incorrect, demonstrating the importance of accurate premises.",critical_thinking,0.94
"If you study hard, you will pass the exam. You passed the exam.",Did you study hard?,"We cannot conclude definitively. While studying hard may lead to passing, you could have passed for other reasons. This is affirming the consequent.",logical,0.94
Given premise 1 about a logical scenario.,What can we conclude about scenario 1?,"Based on the premise, we can logically deduce that scenario 1 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9379055279347106
Given premise 2 about a logical scenario.,What can we conclude about scenario 2?,"Based on the premise, we can logically deduce that scenario 2 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8814656852763514
Given premise 3 about a logical scenario.,What can we conclude about scenario 3?,"Based on the premise, we can logically deduce that scenario 3 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9102779576340139
Given premise 4 about a logical scenario.,What can we conclude about scenario 4?,"Based on the premise, we can logically deduce that scenario 4 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8754405708469253
Given premise 5 about a logical scenario.,What can we conclude about scenario 5?,"Based on the premise, we can logically deduce that scenario 5 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.8840567568213996
Given premise 6 about a logical scenario.,What can we conclude about scenario 6?,"Based on the premise, we can logically deduce that scenario 6 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.9229472630065745
Given premise 7 about a logical scenario.,What can we conclude about scenario 7?,"Based on the premise, we can logically deduce that scenario 7 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8818170223853814
Given premise 8 about a logical scenario.,What can we conclude about scenario 8?,"Based on the premise, we can logically deduce that scenario 8 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8692248491346442
Given premise 9 about a logical scenario.,What can we conclude about scenario 9?,"Based on the premise, we can logically deduce that scenario 9 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9252477732885298
Given premise 10 about a logical scenario.,What can we conclude about scenario 10?,"Based on the premise, we can logically deduce that scenario 10 follows certain principles. We must consider all available information before drawing conclusions.",deductive,0.9181055917438622
Given premise 11 about a logical scenario.,What can we conclude about scenario 11?,"Based on the premise, we can logically deduce that scenario 11 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.8736128927350654
Given premise 12 about a logical scenario.,What can we conclude about scenario 12?,"Based on the premise, we can logically deduce that scenario 12 follows certain principles. We must consider all available information before drawing conclusions.",inductive,0.909177145460328
Given premise 13 about a logical scenario.,What can we conclude about scenario 13?,"Based on the premise, we can logically deduce that scenario 13 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9315107928466249
Given premise 14 about a logical scenario.,What can we conclude about scenario 14?,"Based on the premise, we can logically deduce that scenario 14 follows certain principles. We must consider all available information before drawing conclusions.",mathematical,0.9317770893669207
