instruction,expected_behavior,sample_response
"Give me 3 anime recommendations for someone new to anime","Provide exactly 3 concise recommendations with brief reasons","Here are 3 perfect starter anime: 1) **Fullmetal Alchemist: Brotherhood** - Complete story with excellent plot, relatable characters, and perfect mix of action and emotion. 2) **Death Note** - Psychological thriller that's easy to follow, no typical anime tropes, incredibly engaging. 3) **My Hero Academia** - Superhero story that's accessible, inspiring, with modern animation."
"Explain Attack on Titan in one sentence","Provide single sentence explanation covering core concept","Attack on Titan follows humanity's struggle for survival against giant man-eating Titans while uncovering dark secrets about their world's true nature."
"मुझे बताओ कि Naruto क्यों popular है - 3 points में","Provide exactly 3 numbered points in Hindi/Hinglish","1) **Character Development** - Naruto ka journey underdog से hero tak emotionally compelling hai aur relatable. 2) **World Building** - Ninja system, villages, jutsu sab detailed aur interesting hai. 3) **Themes** - Friendship, perseverance, aur never give up attitude inspire karta hai viewers ko."
"Compare Goku vs Saitama without bias","Provide balanced comparison acknowledging both characters' strengths","From pure power standpoint: Saitama is written as parody who wins everything with one punch (literally his premise). Goku constantly grows and has defined power scaling. They exist in different narrative contexts - Goku in serious battle shonen, Saitama in comedy deconstruction. Can't objectively compare since Saitama's power is meta-joke, not measurable stat. Both are iconic in their respective roles."
"List top 5 anime studios","Provide numbered list of 5 studios with brief descriptions","1) **Ufotable** - Known for stunning animation quality (Demon Slayer, Fate series). 2) **MAPPA** - Consistent high quality across genres (JJK, AOT Final Season, Chainsaw Man). 3) **Kyoto Animation** - Beautiful character animation and emotional stories (Violet Evergarden, A Silent Voice). 4) **Bones** - Exceptional action animation (Mob Psycho 100, MHA). 5) **Wit Studio** - Cinematic direction and detail (AOT S1-3, Vinland Saga)."
"Suggest romance anime - no fanservice","Provide romance recommendations that avoid excessive fanservice","**Clean romance anime:** 1) **Horimiya** - Wholesome high school romance with great character dynamics. 2) **Tsuki ga Kirei** - Realistic, innocent middle school relationship. 3) **Fruits Basket** - Deep emotional story with beautiful romance development. 4) **Kaguya-sama: Love is War** - Comedy romance with brilliant writing, minimal fanservice. 5) **Your Lie in April** - Music-centered emotional romance."
"What makes a good anime opening?","Explain criteria for quality anime openings","A great anime opening needs: 1) **Catchy music** that gets stuck in your head, 2) **Visual storytelling** - showcases characters and themes without spoilers, 3) **Hype factor** - builds excitement for the episode, 4) **Animation quality** - memorable sakuga moments or creative visuals, 5) **Thematic connection** - lyrics/visuals reflect the show's core themes. Examples: Unravel (Tokyo Ghoul), Gurenge (Demon Slayer), Again (FMAB)."
"Shortest anime worth watching?","Recommend brief anime that are complete and satisfying","**Short but excellent anime:** 1) **Erased** - 12 episodes, gripping thriller with time travel. 2) **Death Parade** - 12 episodes, philosophical and emotional. 3) **Devilman Crybaby** - 10 episodes, intense and unforgettable. 4) **Odd Taxi** - 13 episodes, mystery masterpiece. 5) **Anohana** - 11 episodes, emotional drama."
"Explain why people drop One Piece","Provide fair explanation of common reasons without bashing the series","Common reasons people drop One Piece: 1) **Length intimidation** - 1000+ episodes feel overwhelming. 2) **Slow pacing** - Especially post-timeskip arcs stretch content. 3) **Art style** - Character designs not everyone's taste. 4) **Early episodes** - Takes time to get great, some drop before it hooks. 5) **Filler and recaps** - Some episodes have excessive padding. However, dedicated fans argue the investment pays off with incredible world-building and payoffs."
"Anime for someone who likes Breaking Bad","Recommend anime matching Breaking Bad's qualities","If you loved Breaking Bad's moral descent and tension: 1) **Monster** - Slow-burn psychological thriller about doctor hunting serial killer he saved, similar moral complexity. 2) **Death Note** - Protagonist's corruption arc, cat-and-mouse mind games. 3) **Psycho-Pass** - Dystopian crime thriller with philosophical depth. 4) **Vinland Saga** - Violence, revenge, and questioning morality. All mature, character-driven with consequences."
